UnqID,Do You,Even,Lift,Bro,Dont,Taze,Me,Bro,Were ,Gonna,Need,A ,Bigger,Boat
41,,TRUE,,TRUE,,,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE
42,TRUE,TRUE,,,,,,,,,,TRUE,TRUE,TRUE
43,TRUE,TRUE,,,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,
44,,TRUE,,,TRUE,,,,,TRUE,TRUE,,,
45,,TRUE,,,TRUE,,,,TRUE,TRUE,,,,
46,,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE
47,,TRUE,TRUE,TRUE,,,,TRUE,TRUE,,,TRUE,TRUE,TRUE
48,,,,TRUE,,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE
49,,TRUE,,,,,,,,,,,,
50,TRUE,,,,,TRUE,,,TRUE,,,TRUE,TRUE,TRUE
51,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE
52,TRUE,,TRUE,,,TRUE,,,,,,TRUE,TRUE,TRUE
53,,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,,,
54,,,,,TRUE,,,,,TRUE,,TRUE,TRUE,
55,,TRUE,TRUE,,,,,,,,,,,
56,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,
57,TRUE,TRUE,,,TRUE,,,,,TRUE,,,,
58,,,,,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE
59,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,,,TRUE
60,,,TRUE,,,,TRUE,,TRUE,,TRUE,TRUE,TRUE,
61,,TRUE,,,,,,,TRUE,,,,,
62,,TRUE,,,,,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE
63,TRUE,,,TRUE,,TRUE,,TRUE,TRUE,,,TRUE,TRUE,TRUE
64,TRUE,,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE
65,TRUE,TRUE,,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE
66,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE
67,TRUE,TRUE,,,,,TRUE,,TRUE,,,,,
68,TRUE,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
69,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
70,TRUE,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
71,,,,,,,,,TRUE,,,TRUE,TRUE,TRUE
72,,,,TRUE,,,TRUE,TRUE,,TRUE,TRUE,,,
73,,TRUE,,TRUE,,,,TRUE,,TRUE,,,,TRUE
74,TRUE,TRUE,,,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE
75,TRUE,TRUE,,TRUE,,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE
76,TRUE,TRUE,,TRUE,,TRUE,,TRUE,TRUE,,,TRUE,TRUE,TRUE
77,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,
78,TRUE,TRUE,,,,,TRUE,,,TRUE,,,,
79,TRUE,,,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE
80,TRUE,TRUE,,TRUE,,,TRUE,TRUE,,TRUE,,TRUE,TRUE,TRUE
81,,,TRUE,,TRUE,TRUE,,,,TRUE,TRUE,,,
82,TRUE,,,,,,,,,TRUE,,,TRUE,TRUE
83,TRUE,,,,,,,,,,,TRUE,TRUE,TRUE
84,TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,,TRUE,,TRUE,
85,TRUE,TRUE,,,,,,,TRUE,,,TRUE,,
86,,TRUE,,,,,,,,,,,,TRUE
87,,,TRUE,,,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
88,TRUE,TRUE,,,,,,,TRUE,,,,,
89,,TRUE,,,,,,,TRUE,,TRUE,,,
90,TRUE,TRUE,,,,,,,,TRUE,,,,
91,TRUE,,,,,,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE
92,,TRUE,,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE
93,TRUE,,,TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE
94,TRUE,,TRUE,,TRUE,,TRUE,,,,,,,
95,TRUE,,,,,TRUE,,,TRUE,TRUE,,TRUE,TRUE,TRUE
96,,,,TRUE,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,
97,,TRUE,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE
98,,,TRUE,,,,TRUE,,TRUE,TRUE,TRUE,,,
99,TRUE,,,,,TRUE,,,TRUE,TRUE,,TRUE,TRUE,
100,TRUE,TRUE,,,,,,,TRUE,,,,,TRUE
101,TRUE,,,,TRUE,TRUE,,,TRUE,TRUE,,,,
102,,TRUE,,,,TRUE,,,,,,TRUE,TRUE,TRUE
103,,,,,,,,,TRUE,,,,,TRUE
104,,TRUE,,,TRUE,,,,,TRUE,TRUE,,,TRUE
105,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,TRUE,TRUE,TRUE,
106,,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,,
107,,TRUE,,,,,TRUE,,,,TRUE,,,TRUE
108,TRUE,,,,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,TRUE
109,,TRUE,,,,TRUE,TRUE,,,,TRUE,,,TRUE
110,TRUE,,,,,TRUE,TRUE,,TRUE,,TRUE,TRUE,TRUE,TRUE
111,,,,,,,,,,TRUE,,TRUE,TRUE,TRUE
112,,,,,,TRUE,,,,TRUE,,TRUE,TRUE,TRUE
113,,,,,,TRUE,TRUE,,,TRUE,,TRUE,TRUE,TRUE
114,TRUE,TRUE,,,TRUE,,,,TRUE,,TRUE,,,
115,,TRUE,,,TRUE,,TRUE,,,TRUE,TRUE,TRUE,TRUE,
116,TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,,
117,TRUE,TRUE,,TRUE,,,,TRUE,,,,,,
118,TRUE,TRUE,,TRUE,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
119,TRUE,TRUE,,,,,,,,,TRUE,,,
120,,,TRUE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,,,TRUE
121,,TRUE,,,,,TRUE,,,TRUE,,TRUE,TRUE,TRUE
122,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,TRUE
123,,,,,,TRUE,TRUE,,,,TRUE,TRUE,TRUE,TRUE
124,TRUE,TRUE,,,TRUE,,,,TRUE,TRUE,,TRUE,TRUE,TRUE
125,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,
126,TRUE,,,,TRUE,,,,TRUE,,,TRUE,TRUE,TRUE
127,,TRUE,,,,TRUE,,,,,,TRUE,,TRUE
128,,,,,,,TRUE,,,,TRUE,TRUE,TRUE,TRUE
129,TRUE,,,,TRUE,,,,TRUE,,TRUE,,,
130,TRUE,TRUE,,,,TRUE,,,,,TRUE,,,TRUE
131,TRUE,TRUE,,,,,TRUE,,TRUE,,,,,TRUE
132,TRUE,,,,TRUE,,,,,,,,,
133,TRUE,,,,TRUE,,,,,TRUE,,,,TRUE
134,TRUE,TRUE,,,TRUE,,,,,,TRUE,,,
135,,TRUE,,,TRUE,,,,TRUE,TRUE,TRUE,,,
136,TRUE,,,,,TRUE,,,TRUE,TRUE,,,,
137,TRUE,TRUE,,,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,TRUE
138,TRUE,TRUE,,,,,,,,TRUE,,,,
139,TRUE,TRUE,TRUE,,,TRUE,,,,TRUE,TRUE,,TRUE,
140,,,,TRUE,,TRUE,,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE
141,TRUE,TRUE,,,,TRUE,,,,,TRUE,,,
142,,,,,TRUE,,,,TRUE,,TRUE,,,
143,,TRUE,,,,,,,,,,,,
144,TRUE,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE
145,TRUE,,,,TRUE,,,,TRUE,,TRUE,,TRUE,TRUE
146,,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE
147,,TRUE,,,TRUE,,,,,TRUE,TRUE,,,TRUE
148,,TRUE,,,,TRUE,,,TRUE,TRUE,TRUE,,,
149,TRUE,,TRUE,,TRUE,,,,TRUE,TRUE,,,,
150,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,
151,TRUE,,,TRUE,,,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE
152,TRUE,,,,,TRUE,,,TRUE,,TRUE,,,
153,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,
154,TRUE,,,,,,,,TRUE,TRUE,,,,
155,TRUE,,,TRUE,,,,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE
156,,TRUE,TRUE,,TRUE,,TRUE,,,,,TRUE,TRUE,TRUE
157,,TRUE,,,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,
158,,TRUE,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
159,,,,,,,,,TRUE,TRUE,TRUE,,,
160,TRUE,,,,,,,,,,,TRUE,TRUE,TRUE
161,,,,,,,TRUE,,,,,TRUE,,TRUE
162,TRUE,TRUE,,,,,TRUE,,TRUE,,,,,
163,TRUE,TRUE,,TRUE,,TRUE,,TRUE,,,TRUE,TRUE,TRUE,TRUE
164,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
165,,TRUE,,TRUE,TRUE,,,TRUE,TRUE,,TRUE,TRUE,,
166,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,
167,,,,TRUE,,,,TRUE,,TRUE,,,,
168,TRUE,,,,,,TRUE,,,,TRUE,TRUE,TRUE,
169,TRUE,TRUE,,TRUE,,TRUE,,TRUE,TRUE,,,TRUE,TRUE,TRUE
